门店ID,门店名称,城市,poi_count,avg_cost,median_cost,avg_rating,top_categories,business_area,office_count,residential_count,metro_count,nearest_metro_km
BJW42-1,轻遇三明治（北京丽泽平安）,北京市,50,54.7,29.0,4.15,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",太平桥,10,10,10,0.34
BJW11-1,轻遇三明治（北京环球贸易中心店）,北京市,50,59.7,30.0,4.13,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",和平里,10,10,10,0.16
BJW9-1,轻遇三明治（北京中粮广场）,北京市,50,77.2,36.0,3.98,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",建国门,10,10,10,0.3
SHBS56-1,轻遇三明治（上海EKA天物空间）,上海市,50,77.6,31.0,4.19,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",金桥,10,10,10,0.8
SHBS55-1,轻遇三明治（七宝领展广场）,上海市,50,62.7,39.0,4.12,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",七宝,10,10,10,0.02
SHBS53-1,轻遇三明治（上海青浦奥莱）,上海市,43,65.4,50.0,4.2,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",国家会展中心,10,10,8,0.99
SHBS49-1,轻遇三明治（上海蟠龙天地BS）,上海市,50,86.3,44.0,4.18,"中餐厅(10), 快餐厅(10), 休闲餐饮场所(10)",徐泾,10,10,10,0.5
SHBS43-1,轻遇三明治（上海近铁城市广场）,上海市,50,41.9,28.0,3.84,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",长征,10,10,10,0.05
SHBS40-1,轻遇三明治（上海西岸凤巢）,上海市,50,68.2,32.0,4.29,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",龙华,10,10,10,0.12
SHBS41-1,轻遇三明治（上海大宁久光）,上海市,49,79.4,55.0,4.22,"中餐厅(10), 外国餐厅(10), 休闲餐饮场所(10)",大宁路,10,10,10,0.33
SHBS38-1,轻遇三明治（上海漕河泾印象城）,上海市,50,57.8,31.0,4.19,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",漕河泾,10,10,10,0.02
SHBS15-1,轻遇三明治（上海凯德晶萃店）,上海市,50,52.1,36.0,4.21,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",新天地,10,10,10,0.08
